[2019-12-21 11:46:55,482] {/home/alta1/Documents/group_project/rest_project/TanTan/blueprints/__init__.py:65} INFO REQUEST_LOG	{"status_code": 200, "method": "GET", "code": "200 OK", "url": "/client?", "request": null, "response": [{"id": 1, "name": "name1", "username": "client1", "password": "7c6a180b36896a0a8c02787eeafb0e4c"}]}
[2019-12-21 11:47:02,068] {/home/alta1/Documents/group_project/rest_project/TanTan/blueprints/__init__.py:65} INFO REQUEST_LOG	{"status_code": 200, "method": "GET", "code": "200 OK", "url": "/client/1?", "request": null, "response": {"id": 1, "name": "name1", "username": "client1", "password": "7c6a180b36896a0a8c02787eeafb0e4c"}}
[2019-12-21 12:00:06,604] {/home/alta1/Documents/group_project/rest_project/TanTan/blueprints/__init__.py:74} ERROR REQUEST_LOG	{"status_code": 401, "method": "PUT", "code": "401 UNAUTHORIZED", "url": "/client/1?name=name1edited&username=client1edited&password=bambang", "request": null, "response": {"status": "invalid username or password"}}
[2019-12-21 12:01:24,543] {/home/alta1/Documents/group_project/rest_project/TanTan/blueprints/__init__.py:65} INFO REQUEST_LOG	{"status_code": 200, "method": "PUT", "code": "200 OK", "url": "/client/1?name=name1edited&username=client1edited&password=bambang1", "request": null, "response": {"id": 1, "name": "name1edited", "username": "client1edited", "password": "bambang1"}}
[2019-12-21 12:01:45,649] {/home/alta1/Documents/group_project/rest_project/TanTan/blueprints/__init__.py:65} INFO REQUEST_LOG	{"status_code": 200, "method": "PUT", "code": "200 OK", "url": "/client/1?name=name1edited&username=client1edited&password=bambang1", "request": null, "response": {"id": 1, "name": "name1edited", "username": "client1edited", "password": "448b37253ff4460b9e7c05e6aba0751f"}}
[2019-12-21 12:04:35,965] {/home/alta1/Documents/group_project/rest_project/TanTan/blueprints/__init__.py:65} INFO REQUEST_LOG	{"status_code": 200, "method": "DELETE", "code": "200 OK", "url": "/client/1?", "request": null, "response": {"status": "DELETED"}}
[2019-12-21 12:04:46,280] {/home/alta1/Documents/group_project/rest_project/TanTan/blueprints/__init__.py:65} INFO REQUEST_LOG	{"status_code": 200, "method": "GET", "code": "200 OK", "url": "/client?", "request": null, "response": []}
[2019-12-21 13:22:00,284] {/home/alta1/Documents/group_project/rest_project/TanTan/blueprints/__init__.py:65} INFO REQUEST_LOG	{"status_code": 200, "method": "GET", "code": "200 OK", "url": "/client?", "request": null, "response": []}
[2019-12-21 13:22:46,245] {/home/alta1/Documents/group_project/rest_project/TanTan/blueprints/__init__.py:65} INFO REQUEST_LOG	{"status_code": 200, "method": "POST", "code": "200 OK", "url": "/client?name=namae1&username=username1&password=password1", "request": null, "response": {"id": 2, "name": "namae1", "username": "username1", "password": "7c6a180b36896a0a8c02787eeafb0e4c"}}
[2019-12-21 16:02:08,346] {/home/alta1/Documents/group_project/rest_project/TanTan_Project/blueprints/__init__.py:65} INFO REQUEST_LOG	{"status_code": 200, "method": "POST", "code": "200 OK", "url": "/client?name=namae1&username=username1&password=password1&date_birth=02-01-1996", "request": null, "response": {"id": 1, "name": "namae1", "username": "username1", "password": "7c6a180b36896a0a8c02787eeafb0e4c", "date_birth": "02-01-1996"}}
[2019-12-21 16:02:41,764] {/home/alta1/Documents/group_project/rest_project/TanTan_Project/blueprints/__init__.py:65} INFO REQUEST_LOG	{"status_code": 200, "method": "PUT", "code": "200 OK", "url": "/client/1?name=1&username=2&password=password1&date_birth=02-01-1997", "request": null, "response": {"id": 1, "name": "1", "username": "2", "password": "7c6a180b36896a0a8c02787eeafb0e4c", "date_birth": "02-01-1997"}}
[2019-12-21 16:02:51,144] {/home/alta1/Documents/group_project/rest_project/TanTan_Project/blueprints/__init__.py:65} INFO REQUEST_LOG	{"status_code": 200, "method": "GET", "code": "200 OK", "url": "/client/1?", "request": null, "response": {"id": 1, "name": "namae1", "username": "username1", "password": "7c6a180b36896a0a8c02787eeafb0e4c", "date_birth": "02-01-1996"}}
[2019-12-21 16:03:11,991] {/home/alta1/Documents/group_project/rest_project/TanTan_Project/blueprints/__init__.py:74} ERROR REQUEST_LOG	{"status_code": 404, "method": "GET", "code": "404 NOT FOUND", "url": "/client/-1?", "request": null, "response": {"status": "NOT FOUND"}}
[2019-12-21 16:03:21,352] {/home/alta1/Documents/group_project/rest_project/TanTan_Project/blueprints/__init__.py:74} ERROR REQUEST_LOG	{"status_code": 404, "method": "GET", "code": "404 NOT FOUND", "url": "/client/0?", "request": null, "response": {"status": "NOT FOUND"}}
[2019-12-21 16:03:25,902] {/home/alta1/Documents/group_project/rest_project/TanTan_Project/blueprints/__init__.py:74} ERROR REQUEST_LOG	{"status_code": 404, "method": "GET", "code": "404 NOT FOUND", "url": "/client/3?", "request": null, "response": {"status": "NOT FOUND"}}
[2019-12-21 16:03:50,493] {/home/alta1/Documents/group_project/rest_project/TanTan_Project/blueprints/__init__.py:65} INFO REQUEST_LOG	{"status_code": 200, "method": "GET", "code": "200 OK", "url": "/client?", "request": null, "response": [{"id": 1, "name": "namae1", "username": "username1", "password": "7c6a180b36896a0a8c02787eeafb0e4c", "date_birth": "02-01-1996"}]}
